COUNTY,ZIPCODE,POPULATION,SERVICE_CONNECTIONS,VIOLATION_TYPE_NAME,ANALYTE_NAME,VALUE,UNIT,MCL,ENF_ACTION_TYPE_ISSUED,year_violation,daystaken
INYO,93530,50,67,"MCL,  AVERAGE",ARSENIC,78,UG/L,0.010 MG/L,OTHER INFORMAL ENFORCEMENT ACTION TAKEN,2014,90
INYO,93530,50,67,"MCL,  AVERAGE",ARSENIC,78,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
INYO,93530,50,67,"MCL,  AVERAGE",ARSENIC,81,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93311,48,14,"MCL,  AVERAGE",COMBINED URANIUM,26.5,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,89
KERN,93311,48,14,"MCL,  AVERAGE",COMBINED URANIUM,25.5,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93311,48,14,"MCL,  AVERAGE",COMBINED URANIUM,29,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93311,48,14,"MCL,  AVERAGE",COMBINED URANIUM,27,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93311,32,15,"MCL,  AVERAGE",COMBINED URANIUM,25,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,91
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,23,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,90
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,23,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,91
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,23,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,19,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2014,90
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,16,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,89
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,91
KERN,93312,150,50,"MCL,  AVERAGE",ARSENIC,22,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,89
KERN,93283,238,85,"MCL, SINGLE SAMPLE",NITRATE,110,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93283,238,85,"MCL,  AVERAGE",COMBINED URANIUM,38,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,90
KERN,93283,238,85,"MCL,  AVERAGE",COMBINED URANIUM,39,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93283,238,85,"MCL,  AVERAGE",COMBINED URANIUM,48,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,91
KERN,93283,238,85,"MCL, SINGLE SAMPLE",NITRATE,19,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,89
KERN,93283,238,85,"MCL,  AVERAGE",COMBINED URANIUM,22,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93283,238,85,"MCL, SINGLE SAMPLE",NITRATE,25,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93312,462,155,"MCL, SINGLE SAMPLE",NITRATE,49,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,89
KERN,93312,462,155,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,11,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,91
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,91
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,16,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,90
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,16,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2014,89
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,90
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,90
KERN,93560,171,65,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,69,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,91
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,70,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,90
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,79,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2014,89
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,81,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,68,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2015,91
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,77,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2016,90
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,71,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2017,89
KERN,93285,36,38,"MCL,  AVERAGE",ARSENIC,70,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2017,91
KERN,93523,37,20,"MCL,  AVERAGE",ARSENIC,40,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2013,90
KERN,93523,37,20,"MCL,  AVERAGE",ARSENIC,40,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2014,89
KERN,93523,37,20,"MCL,  AVERAGE",ARSENIC,38,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,89
KERN,93523,37,20,"MCL,  AVERAGE",ARSENIC,40,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93523,37,20,"MCL,  AVERAGE",ARSENIC,47,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93523,37,20,"MCL,  AVERAGE",ARSENIC,44,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,91
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,90
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,19,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,89
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,19,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,19,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2015,91
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,22,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2016,90
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,21,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93501,56,16,"MCL,  AVERAGE",ARSENIC,20,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,91
KERN,93285,67,24,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93285,67,24,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93285,67,24,"MCL, SINGLE SAMPLE",NITRATE,46,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,90
KERN,93285,67,24,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93285,67,24,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,91
KERN,93285,67,24,"MCL, SINGLE SAMPLE",NITRATE,12,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93225,82,86,"MCL,  AVERAGE",NITRATE,12,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93523,68,33,"MCL,  AVERAGE",ARSENIC,74,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93523,68,33,"MCL,  AVERAGE",ARSENIC,90,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,89
KERN,93523,68,33,"MCL,  AVERAGE",ARSENIC,84,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93523,68,33,"MCL,  AVERAGE",ARSENIC,94,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93523,68,33,"MCL,  AVERAGE",ARSENIC,81,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,21,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2013,89
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,14,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,19,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93307,200,80,"MCL,  AVERAGE",ARSENIC,24,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93386,66,20,"MCL, SINGLE SAMPLE",NITRATE,82,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93386,66,20,"MCL, SINGLE SAMPLE",NITRATE,56,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93386,66,20,"MCL, SINGLE SAMPLE",NITRATE,57,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,90
KERN,93386,66,20,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,13,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93386,66,20,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,13,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93386,66,20,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,17,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,65,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,91
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,39,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2013,91
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,43,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,89
KERN,93283,120,71,"MCL,  AVERAGE",COMBINED URANIUM,25,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,90
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,25,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,34,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93283,120,71,"MCL,  AVERAGE",COMBINED URANIUM,26,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,90
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,36,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,91
KERN,93283,120,71,"MCL,  AVERAGE",ARSENIC,33,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93283,120,71,"MCL,  AVERAGE",COMBINED URANIUM,21,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93312,270,95,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93312,270,95,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,89
KERN,93308,50,17,"MCL,  AVERAGE",COMBINED URANIUM,32,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,90
KERN,93308,50,17,"MCL,  AVERAGE",COMBINED URANIUM,28,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93308,50,17,"MCL,  AVERAGE",COMBINED URANIUM,29,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,90
KERN,93308,50,17,"MCL,  AVERAGE",COMBINED URANIUM,32,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,91
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,21,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,24,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,91
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,30,UG/L,0.010 MG/L,RETURN TO COMPLIANCE,2013,91
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,26,UG/L,0.010 MG/L,RETURN TO COMPLIANCE,2014,90
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,28,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,89
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,31,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2016,90
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,32,UG/L,0.010 MG/L,RETURN TO COMPLIANCE,2016,91
KERN,93560,73,69,"MCL,  AVERAGE",ARSENIC,39,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93387,165,61,"MCL, SINGLE SAMPLE",NITRATE,60,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93387,165,61,"MCL, SINGLE SAMPLE",NITRATE,67,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,90
KERN,93387,165,61,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93387,165,61,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,14,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93387,165,61,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93312,90,32,"MCL, SINGLE SAMPLE",NITRATE,47,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,89
KERN,93307,100,39,"MCL,  AVERAGE",ARSENIC,12,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2013,90
KERN,93307,100,39,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,89
KERN,93307,100,39,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93307,100,39,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,91
KERN,93220,438,106,"MCL, SINGLE SAMPLE",NITRATE,47,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,89
KERN,93220,438,106,"MCL, SINGLE SAMPLE",NITRATE,54,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2014,91
KERN,93220,438,106,"MCL, SINGLE SAMPLE",NITRATE,57,MG/L,45 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,90
KERN,93220,438,106,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,15,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,89
KERN,93220,438,106,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,19,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,90
KERN,93311,800,1,"MCL,  AVERAGE",ARSENIC,19,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,90
KERN,93311,800,1,"MCL,  AVERAGE",ARSENIC,16,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,89
KERN,93311,800,1,"MCL,  AVERAGE",ARSENIC,18,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,91
KERN,93311,800,1,"MCL,  AVERAGE",ARSENIC,15,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,89
KERN,93312,887,16,"MCL, SINGLE SAMPLE",NITRATE-NITRITE,12,MG/L,10 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,90
KERN,93560,940,2,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2012,90
KERN,93560,940,2,"MCL,  AVERAGE",ARSENIC,12,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,91
KERN,93560,940,2,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93560,940,2,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2014,90
KERN,93560,940,2,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2015,91
KERN,93560,940,2,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,90
KERN,93560,175,79,"MCL,  AVERAGE",COMBINED URANIUM,38,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,89
KERN,93560,82,63,"MCL,  AVERAGE",COMBINED URANIUM,21,PCI/L,20 PCI/L,FORMAL ENFORCEMENT ACTION ISSUED,2018,91
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,15,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,90
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2013,89
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,16,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,91
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,14,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2014,91
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,13,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2015,91
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,14,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2016,91
KERN,93312,32,16,"MCL,  AVERAGE",ARSENIC,12,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2017,91
KERN,93560,35,15,"MCL,  AVERAGE",ARSENIC,11,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2012,90
KERN,93560,35,15,"MCL,  AVERAGE",ARSENIC,15,UG/L,0.010 MG/L,FORMAL ENFORCEMENT ACTION ISSUED,2013,89
KERN,93560,35,15,"MCL,  AVERAGE",ARSENIC,17,UG/L,0.010 MG/L,STATE INTENTIONAL NO ACTION TAKEN,2013,91
